,id,lat,lon,rsrq,group,order
12,13,35.02656983,128.4179765,-56,4,-56
13,14,34.93649006,128.4179765,-56,4,-112
14,15,34.93649006,128.5332526,-56,4,-168
15,16,35.02656983,128.5332526,-56,4,-224
70,71,34.75633051,128.4179765,-69,18,-207
71,72,34.84641029,128.4179765,-69,18,-276
87,88,34.75633051,128.4179765,-93,22,-372
168,169,34.93649006,128.4179765,-76,43,-76
169,170,34.84641029,128.4179765,-76,43,-152
170,171,34.84641029,128.5332526,-76,43,-228
171,172,34.93649006,128.5332526,-76,43,-304
172,173,35.1166496,128.6485287,-88,44,-88
173,174,35.02656983,128.6485287,-88,44,-176
188,189,35.1166496,128.4179765,-69,48,-69
189,190,35.02656983,128.4179765,-69,48,-138
190,191,35.02656983,128.5332526,-69,48,-207
191,192,35.1166496,128.5332526,-69,48,-276
296,297,35.1166496,128.5332526,-61,75,-61
297,298,35.02656983,128.5332526,-61,75,-122
298,299,35.02656983,128.6485287,-61,75,-183
299,300,35.1166496,128.6485287,-61,75,-244
356,357,35.02656983,128.5332526,-80,90,-80
357,358,34.93649006,128.5332526,-80,90,-160
358,359,34.93649006,128.6485287,-80,90,-240
359,360,35.02656983,128.6485287,-80,90,-320
374,375,34.84641029,128.4179765,-84,94,-252
375,376,34.93649006,128.4179765,-84,94,-336
408,409,34.93649006,128.5332526,-88,103,-88
409,410,34.84641029,128.5332526,-88,103,-176
410,411,34.84641029,128.6485287,-88,103,-264
411,412,34.93649006,128.6485287,-88,103,-352
520,521,35.02656983,128.6485287,-78,131,-78
521,522,34.93649006,128.6485287,-78,131,-156
724,725,34.84641029,128.4179765,-72,182,-72
725,726,34.75633051,128.4179765,-72,182,-144
726,727,34.75633051,128.5332526,-72,182,-216
727,728,34.84641029,128.5332526,-72,182,-288
728,729,34.84641029,128.5332526,-96,183,-96
729,730,34.75633051,128.5332526,-96,183,-192
730,731,34.75633051,128.6485287,-96,183,-288
731,732,34.84641029,128.6485287,-96,183,-384
824,825,34.75633051,128.5332526,-91,207,-91
827,828,34.75633051,128.6485287,-91,207,-364
828,829,34.75633051,128.6485287,-81,208,-81
937,938,35.1166496,128.6485287,-80,235,-160
1180,1181,34.75633051,128.4179765,-97,296,-97
1183,1184,34.75633051,128.5332526,-97,296,-388
2160,2161,34.84641029,128.6485287,-91,541,-91
2161,2162,34.75633051,128.6485287,-91,541,-182
2596,2597,34.93649006,128.6485287,-74,650,-74
2597,2598,34.84641029,128.6485287,-74,650,-148
